today,time_stamp,game_length,game_result
2022-04-10T13:13:20Z,14 hours ago,24m 16s,Defeat
2022-04-10T13:13:20Z,20 hours ago,16m 26s,Victory
2022-04-10T13:13:20Z,20 hours ago,27m 35s,Victory
2022-04-10T13:13:20Z,21 hours ago,27m 43s,Defeat
2022-04-10T13:13:20Z,a day ago,35m 28s,Victory
2022-04-10T13:13:20Z,a day ago,33m 40s,Defeat
2022-04-10T13:13:20Z,2 days ago,30m 24s,Victory
2022-04-10T13:13:20Z,2 days ago,16m 32s,Victory
2022-04-10T13:13:20Z,2 days ago,29m 25s,Defeat
2022-04-10T13:13:20Z,2 days ago,21m 32s,Defeat
2022-04-10T13:13:20Z,2 days ago,25m 14s,Defeat
2022-04-10T13:13:20Z,2 days ago,31m 9s,Defeat
2022-04-10T13:13:20Z,2 days ago,38m 24s,Defeat
2022-04-10T13:13:20Z,4 days ago,30m 12s,Defeat
2022-04-10T13:13:20Z,4 days ago,30m 27s,Victory
2022-04-10T13:13:20Z,4 days ago,25m 6s,Victory
2022-04-10T13:13:20Z,4 days ago,21m 52s,Defeat
2022-04-10T13:13:20Z,4 days ago,16m 16s,Victory
2022-04-10T13:13:20Z,5 days ago,40m 3s,Defeat
2022-04-10T13:13:20Z,6 days ago,31m 53s,Victory
2022-04-09T13:09:38Z,6 hours ago,35m 28s,Victory
2022-04-09T13:09:38Z,6 hours ago,33m 40s,Defeat
2022-04-09T13:09:38Z,16 hours ago,30m 24s,Victory
2022-04-09T13:09:38Z,16 hours ago,16m 32s,Victory
2022-04-09T13:09:38Z,17 hours ago,29m 25s,Defeat
2022-04-09T13:09:38Z,17 hours ago,21m 32s,Defeat
2022-04-09T13:09:38Z,a day ago,25m 14s,Defeat
2022-04-09T13:09:38Z,a day ago,31m 9s,Defeat
2022-04-09T13:09:38Z,a day ago,38m 24s,Defeat
2022-04-09T13:09:38Z,3 days ago,30m 12s,Defeat
2022-04-09T13:09:38Z,3 days ago,30m 27s,Victory
2022-04-09T13:09:38Z,3 days ago,25m 6s,Victory
2022-04-09T13:09:38Z,3 days ago,21m 52s,Defeat
2022-04-09T13:09:38Z,3 days ago,16m 16s,Victory
2022-04-09T13:09:38Z,4 days ago,40m 3s,Defeat
2022-04-09T13:09:38Z,5 days ago,31m 53s,Victory
2022-04-09T13:09:38Z,5 days ago,24m 33s,Victory
2022-04-09T13:09:38Z,5 days ago,29m 9s,Defeat
2022-04-09T13:09:38Z,5 days ago,38m 42s,Victory
2022-04-09T13:09:38Z,5 days ago,21m 28s,Defeat
2022-04-08T13:13:36Z,2 days ago,30m 12s,Defeat
2022-04-08T13:13:36Z,2 days ago,30m 27s,Victory
2022-04-08T13:13:36Z,2 days ago,25m 6s,Victory
2022-04-08T13:13:36Z,2 days ago,21m 52s,Defeat
2022-04-08T13:13:36Z,2 days ago,16m 16s,Victory
2022-04-08T13:13:36Z,3 days ago,40m 3s,Defeat
2022-04-08T13:13:36Z,4 days ago,31m 53s,Victory
2022-04-08T13:13:36Z,4 days ago,24m 33s,Victory
2022-04-08T13:13:36Z,4 days ago,29m 9s,Defeat
2022-04-08T13:13:36Z,4 days ago,38m 42s,Victory
2022-04-08T13:13:36Z,4 days ago,21m 28s,Defeat
2022-04-08T13:13:36Z,4 days ago,27m 15s,Victory
2022-04-08T13:13:36Z,4 days ago,24m 10s,Victory
2022-04-08T13:13:36Z,4 days ago,37m 17s,Defeat
2022-04-08T13:13:36Z,4 days ago,35m 49s,Defeat
2022-04-08T13:13:36Z,4 days ago,31m 51s,Defeat
2022-04-08T13:13:36Z,5 days ago,21m 33s,Defeat
2022-04-08T13:13:36Z,5 days ago,35m 37s,Defeat
2022-04-08T13:13:36Z,5 days ago,37m 33s,Victory
2022-04-08T13:13:36Z,5 days ago,39m 41s,Victory
2022-04-07T13:11:41Z,a day ago,30m 12s,Defeat
2022-04-07T13:11:41Z,a day ago,30m 27s,Victory
2022-04-07T13:11:41Z,a day ago,25m 6s,Victory
2022-04-07T13:11:41Z,a day ago,21m 52s,Defeat
2022-04-07T13:11:41Z,a day ago,16m 16s,Victory
2022-04-07T13:11:41Z,2 days ago,40m 3s,Defeat
2022-04-07T13:11:41Z,3 days ago,31m 53s,Victory
2022-04-07T13:11:41Z,3 days ago,24m 33s,Victory
2022-04-07T13:11:41Z,3 days ago,29m 9s,Defeat
2022-04-07T13:11:41Z,3 days ago,38m 42s,Victory
2022-04-07T13:11:41Z,3 days ago,21m 28s,Defeat
2022-04-07T13:11:41Z,3 days ago,27m 15s,Victory
2022-04-07T13:11:41Z,3 days ago,24m 10s,Victory
2022-04-07T13:11:41Z,3 days ago,37m 17s,Defeat
2022-04-07T13:11:41Z,3 days ago,35m 49s,Defeat
2022-04-07T13:11:41Z,3 days ago,31m 51s,Defeat
2022-04-07T13:11:41Z,4 days ago,21m 33s,Defeat
2022-04-07T13:11:41Z,4 days ago,35m 37s,Defeat
2022-04-07T13:11:41Z,4 days ago,37m 33s,Victory
2022-04-07T13:11:41Z,4 days ago,39m 41s,Victory
2022-04-06T13:13:07Z,6 hours ago,30m 12s,Defeat
2022-04-06T13:13:07Z,10 hours ago,30m 27s,Victory
2022-04-06T13:13:07Z,11 hours ago,25m 6s,Victory
2022-04-06T13:13:07Z,11 hours ago,21m 52s,Defeat
2022-04-06T13:13:07Z,12 hours ago,16m 16s,Victory
